0.293103	  0.120690	  0.146552	  0.439655	
  0.198276	  0.094828	  0.370690	  0.336207	
  0.068966	  0.022414	  0.908621	  0.000000	
  0.000000	  0.077586	  0.000000	  0.922414	
  0.001724	  0.000000	  0.998276	  0.000000	
  0.000000	  0.000000	  1.000000	  0.000000	
  0.086207	  0.003448	  0.872414	  0.037931	
  0.286207	  0.446552	  0.053448	  0.213793	
  0.000000	  1.000000	  0.000000	  0.000000	
  0.020690	  0.979310	  0.000000	  0.000000	
  0.131034	  0.641379	  0.039655	  0.187931	
  0.768966	  0.077586	  0.098276	  0.055172	
  0.075862	  0.617241	  0.084483	  0.222414	
